time units=S;Vdummy#branch units=A
0.000000000000000e+00;0.000000000000000e+00
5.000000000000000e-13;0.000000000000000e+00
1.000000000000000e-12;0.000000000000000e+00
1.500000000000000e-12;0.000000000000000e+00
2.000000000000000e-12;0.000000000000000e+00
2.500000000000000e-12;0.000000000000000e+00
3.000000000000000e-12;0.000000000000000e+00
3.500000000000000e-12;0.000000000000000e+00
4.000000000000000e-12;0.000000000000000e+00
4.500000000000000e-12;0.000000000000000e+00
5.000000000000000e-12;0.000000000000000e+00
5.500000000000000e-12;0.000000000000000e+00
5.999999999999999e-12;0.000000000000000e+00
6.499999999999999e-12;0.000000000000000e+00
6.999999999999999e-12;0.000000000000000e+00
7.500000000000000e-12;0.000000000000000e+00
8.000000000000000e-12;0.000000000000000e+00
8.500000000000000e-12;0.000000000000000e+00
9.000000000000000e-12;0.000000000000000e+00
9.500000000000000e-12;0.000000000000000e+00
9.999999999999999e-12;0.000000000000000e+00
1.050000000000000e-11;0.000000000000000e+00
1.100000000000000e-11;0.000000000000000e+00
1.150000000000000e-11;0.000000000000000e+00
1.200000000000000e-11;0.000000000000000e+00
1.250000000000000e-11;0.000000000000000e+00
1.300000000000000e-11;0.000000000000000e+00
1.350000000000000e-11;0.000000000000000e+00
1.400000000000000e-11;0.000000000000000e+00
1.450000000000000e-11;0.000000000000000e+00
1.500000000000000e-11;0.000000000000000e+00
1.550000000000000e-11;0.000000000000000e+00
1.600000000000000e-11;0.000000000000000e+00
1.650000000000000e-11;0.000000000000000e+00
1.700000000000001e-11;0.000000000000000e+00
1.750000000000001e-11;0.000000000000000e+00
1.800000000000001e-11;0.000000000000000e+00
1.850000000000001e-11;0.000000000000000e+00
1.900000000000001e-11;0.000000000000000e+00
1.950000000000001e-11;0.000000000000000e+00
2.000000000000001e-11;0.000000000000000e+00
2.050000000000002e-11;0.000000000000000e+00
2.100000000000002e-11;0.000000000000000e+00
2.150000000000002e-11;0.000000000000000e+00
2.200000000000002e-11;0.000000000000000e+00
2.250000000000002e-11;0.000000000000000e+00
2.300000000000002e-11;0.000000000000000e+00
2.350000000000003e-11;0.000000000000000e+00
2.400000000000003e-11;0.000000000000000e+00
2.450000000000003e-11;0.000000000000000e+00
2.500000000000003e-11;0.000000000000000e+00
2.550000000000003e-11;0.000000000000000e+00
2.600000000000003e-11;0.000000000000000e+00
2.650000000000003e-11;0.000000000000000e+00
2.700000000000004e-11;0.000000000000000e+00
2.750000000000004e-11;0.000000000000000e+00
2.800000000000004e-11;0.000000000000000e+00
2.850000000000004e-11;0.000000000000000e+00
2.900000000000004e-11;0.000000000000000e+00
2.950000000000004e-11;0.000000000000000e+00
3.000000000000004e-11;0.000000000000000e+00
3.050000000000004e-11;0.000000000000000e+00
3.100000000000004e-11;0.000000000000000e+00
3.150000000000003e-11;0.000000000000000e+00
3.200000000000003e-11;0.000000000000000e+00
3.250000000000003e-11;0.000000000000000e+00
3.300000000000003e-11;0.000000000000000e+00
3.350000000000003e-11;0.000000000000000e+00
3.400000000000002e-11;0.000000000000000e+00
3.450000000000002e-11;0.000000000000000e+00
3.500000000000002e-11;0.000000000000000e+00
3.550000000000002e-11;0.000000000000000e+00
3.600000000000002e-11;0.000000000000000e+00
3.650000000000002e-11;0.000000000000000e+00
3.700000000000001e-11;0.000000000000000e+00
3.750000000000001e-11;0.000000000000000e+00
3.800000000000001e-11;0.000000000000000e+00
3.850000000000001e-11;0.000000000000000e+00
3.900000000000001e-11;0.000000000000000e+00
3.950000000000001e-11;0.000000000000000e+00
4.000000000000000e-11;0.000000000000000e+00
4.050000000000000e-11;0.000000000000000e+00
4.100000000000000e-11;0.000000000000000e+00
4.150000000000000e-11;0.000000000000000e+00
4.200000000000000e-11;0.000000000000000e+00
4.250000000000000e-11;0.000000000000000e+00
4.299999999999999e-11;0.000000000000000e+00
4.349999999999999e-11;0.000000000000000e+00
4.399999999999999e-11;0.000000000000000e+00
4.449999999999999e-11;0.000000000000000e+00
4.499999999999999e-11;0.000000000000000e+00
4.549999999999999e-11;0.000000000000000e+00
4.599999999999998e-11;0.000000000000000e+00
4.649999999999998e-11;0.000000000000000e+00
4.699999999999998e-11;0.000000000000000e+00
4.749999999999998e-11;0.000000000000000e+00
4.799999999999998e-11;0.000000000000000e+00
4.849999999999997e-11;0.000000000000000e+00
4.899999999999997e-11;0.000000000000000e+00
4.949999999999997e-11;0.000000000000000e+00
4.999999999999997e-11;0.000000000000000e+00
5.049999999999997e-11;4.999999999999659e-05
5.099999999999997e-11;9.999999999999617e-05
5.149999999999996e-11;1.000000000000002e-04
5.199999999999996e-11;1.000000000000000e-04
5.249999999999996e-11;1.000000000000001e-04
5.299999999999996e-11;9.999999999999995e-05
5.349999999999996e-11;1.000000000000002e-04
5.399999999999996e-11;9.999999999999996e-05
5.449999999999995e-11;1.000000000000001e-04
5.499999999999995e-11;1.000000000000002e-04
5.549999999999995e-11;1.000000000000001e-04
5.599999999999995e-11;1.000000000000002e-04
5.649999999999995e-11;9.999999999999996e-05
5.699999999999995e-11;1.000000000000001e-04
5.749999999999994e-11;1.000000000000002e-04
5.799999999999994e-11;1.000000000000002e-04
5.849999999999994e-11;9.999999999999998e-05
5.899999999999994e-11;1.000000000000001e-04
5.949999999999994e-11;1.000000000000001e-04
5.999999999999993e-11;1.000000000000000e-04
6.049999999999993e-11;1.499999999999935e-04
6.099999999999993e-11;1.999999999999933e-04
6.149999999999993e-11;1.500000000000072e-04
6.199999999999993e-11;1.000000000000079e-04
6.249999999999993e-11;1.000000000000002e-04
6.299999999999992e-11;1.000000000000001e-04
6.349999999999992e-11;1.000000000000002e-04
6.399999999999992e-11;1.000000000000001e-04
6.449999999999992e-11;1.000000000000000e-04
6.499999999999992e-11;1.000000000000001e-04
6.549999999999992e-11;1.000000000000001e-04
6.599999999999991e-11;1.000000000000000e-04
6.649999999999991e-11;1.000000000000002e-04
6.699999999999991e-11;1.000000000000002e-04
6.749999999999991e-11;1.000000000000001e-04
6.799999999999991e-11;1.000000000000001e-04
6.849999999999991e-11;1.000000000000001e-04
6.899999999999990e-11;1.000000000000002e-04
6.949999999999990e-11;1.000000000000001e-04
6.999999999999990e-11;1.000000000000000e-04
7.049999999999990e-11;1.000000000000002e-04
7.099999999999990e-11;9.999999999999982e-05
7.149999999999990e-11;5.000000000001024e-05
7.199999999999989e-11;1.055659809140985e-17
7.249999999999989e-11;0.000000000000000e+00
7.299999999999989e-11;0.000000000000000e+00
7.349999999999989e-11;0.000000000000000e+00
7.399999999999989e-11;0.000000000000000e+00
7.449999999999988e-11;0.000000000000000e+00
7.499999999999988e-11;0.000000000000000e+00
7.549999999999988e-11;0.000000000000000e+00
7.599999999999988e-11;0.000000000000000e+00
7.649999999999988e-11;0.000000000000000e+00
7.699999999999988e-11;0.000000000000000e+00
7.749999999999987e-11;0.000000000000000e+00
7.799999999999987e-11;0.000000000000000e+00
7.849999999999987e-11;0.000000000000000e+00
7.899999999999987e-11;0.000000000000000e+00
7.949999999999987e-11;0.000000000000000e+00
7.999999999999987e-11;0.000000000000000e+00
8.049999999999986e-11;0.000000000000000e+00
8.099999999999986e-11;0.000000000000000e+00
8.149999999999986e-11;0.000000000000000e+00
8.199999999999986e-11;0.000000000000000e+00
8.249999999999986e-11;0.000000000000000e+00
8.299999999999986e-11;0.000000000000000e+00
8.349999999999985e-11;0.000000000000000e+00
8.399999999999985e-11;0.000000000000000e+00
8.449999999999985e-11;0.000000000000000e+00
8.499999999999985e-11;0.000000000000000e+00
8.549999999999985e-11;0.000000000000000e+00
8.599999999999985e-11;0.000000000000000e+00
8.649999999999984e-11;0.000000000000000e+00
8.699999999999984e-11;0.000000000000000e+00
8.749999999999984e-11;0.000000000000000e+00
8.799999999999984e-11;0.000000000000000e+00
8.849999999999984e-11;0.000000000000000e+00
8.899999999999983e-11;0.000000000000000e+00
8.949999999999983e-11;0.000000000000000e+00
8.999999999999983e-11;0.000000000000000e+00
9.049999999999983e-11;0.000000000000000e+00
9.099999999999983e-11;0.000000000000000e+00
9.149999999999983e-11;0.000000000000000e+00
9.199999999999982e-11;0.000000000000000e+00
9.249999999999982e-11;0.000000000000000e+00
9.299999999999982e-11;0.000000000000000e+00
9.349999999999982e-11;0.000000000000000e+00
9.399999999999982e-11;0.000000000000000e+00
9.449999999999982e-11;0.000000000000000e+00
9.499999999999981e-11;0.000000000000000e+00
9.549999999999981e-11;0.000000000000000e+00
9.599999999999981e-11;0.000000000000000e+00
9.649999999999981e-11;0.000000000000000e+00
9.699999999999981e-11;0.000000000000000e+00
9.749999999999981e-11;0.000000000000000e+00
9.799999999999980e-11;0.000000000000000e+00
9.849999999999980e-11;0.000000000000000e+00
9.899999999999980e-11;0.000000000000000e+00
9.949999999999980e-11;0.000000000000000e+00
9.999999999999980e-11;0.000000000000000e+00
1.004999999999998e-10;0.000000000000000e+00
1.009999999999998e-10;0.000000000000000e+00
1.014999999999998e-10;0.000000000000000e+00
1.019999999999998e-10;0.000000000000000e+00
1.024999999999998e-10;0.000000000000000e+00
1.029999999999998e-10;0.000000000000000e+00
1.034999999999998e-10;0.000000000000000e+00
1.039999999999998e-10;0.000000000000000e+00
1.044999999999998e-10;0.000000000000000e+00
1.049999999999998e-10;0.000000000000000e+00
1.054999999999998e-10;0.000000000000000e+00
1.059999999999998e-10;0.000000000000000e+00
1.064999999999998e-10;0.000000000000000e+00
1.069999999999998e-10;0.000000000000000e+00
1.074999999999998e-10;0.000000000000000e+00
1.079999999999998e-10;0.000000000000000e+00
1.084999999999998e-10;0.000000000000000e+00
1.089999999999998e-10;0.000000000000000e+00
1.094999999999998e-10;0.000000000000000e+00
1.099999999999998e-10;0.000000000000000e+00
1.104999999999998e-10;0.000000000000000e+00
1.109999999999998e-10;0.000000000000000e+00
1.114999999999998e-10;0.000000000000000e+00
1.119999999999998e-10;0.000000000000000e+00
1.124999999999998e-10;0.000000000000000e+00
1.129999999999998e-10;0.000000000000000e+00
1.134999999999998e-10;0.000000000000000e+00
1.139999999999997e-10;0.000000000000000e+00
1.144999999999997e-10;0.000000000000000e+00
1.149999999999997e-10;0.000000000000000e+00
1.154999999999997e-10;0.000000000000000e+00
1.159999999999997e-10;0.000000000000000e+00
1.164999999999998e-10;0.000000000000000e+00
1.169999999999998e-10;0.000000000000000e+00
1.174999999999997e-10;0.000000000000000e+00
1.179999999999997e-10;0.000000000000000e+00
1.184999999999997e-10;0.000000000000000e+00
1.189999999999997e-10;0.000000000000000e+00
1.194999999999997e-10;0.000000000000000e+00
1.199999999999997e-10;0.000000000000000e+00
1.204999999999997e-10;4.999999999997400e-05
1.209999999999997e-10;9.999999999997375e-05
1.214999999999997e-10;1.000000000000002e-04
1.219999999999997e-10;1.000000000000001e-04
1.224999999999997e-10;1.000000000000001e-04
1.229999999999997e-10;9.999999999999995e-05
1.234999999999997e-10;1.000000000000002e-04
1.239999999999997e-10;9.999999999999996e-05
1.244999999999997e-10;1.000000000000002e-04
1.249999999999997e-10;1.000000000000002e-04
1.254999999999997e-10;1.000000000000002e-04
1.259999999999997e-10;1.000000000000000e-04
1.264999999999997e-10;1.000000000000001e-04
1.269999999999997e-10;1.000000000000000e-04
1.274999999999997e-10;1.000000000000000e-04
1.279999999999997e-10;1.000000000000002e-04
1.284999999999997e-10;1.000000000000000e-04
1.289999999999997e-10;1.000000000000002e-04
1.294999999999997e-10;1.000000000000001e-04
1.299999999999997e-10;1.000000000000001e-04
1.304999999999997e-10;1.000000000000001e-04
1.309999999999997e-10;1.000000000000002e-04
1.314999999999997e-10;5.000000000002947e-05
1.319999999999997e-10;2.995221659798969e-17
1.324999999999997e-10;0.000000000000000e+00
1.329999999999997e-10;0.000000000000000e+00
1.334999999999997e-10;0.000000000000000e+00
1.339999999999997e-10;0.000000000000000e+00
1.344999999999997e-10;0.000000000000000e+00
1.349999999999997e-10;0.000000000000000e+00
1.354999999999997e-10;0.000000000000000e+00
1.359999999999997e-10;0.000000000000000e+00
1.364999999999997e-10;0.000000000000000e+00
1.369999999999997e-10;0.000000000000000e+00
1.374999999999997e-10;0.000000000000000e+00
1.379999999999997e-10;0.000000000000000e+00
1.384999999999997e-10;0.000000000000000e+00
1.389999999999997e-10;0.000000000000000e+00
1.394999999999997e-10;0.000000000000000e+00
1.399999999999997e-10;0.000000000000000e+00
1.404999999999997e-10;0.000000000000000e+00
1.409999999999997e-10;0.000000000000000e+00
1.414999999999997e-10;0.000000000000000e+00
1.419999999999997e-10;0.000000000000000e+00
1.424999999999997e-10;0.000000000000000e+00
1.429999999999997e-10;0.000000000000000e+00
1.434999999999997e-10;0.000000000000000e+00
1.439999999999997e-10;0.000000000000000e+00
1.444999999999997e-10;0.000000000000000e+00
1.449999999999997e-10;0.000000000000000e+00
1.454999999999997e-10;0.000000000000000e+00
1.459999999999997e-10;0.000000000000000e+00
1.464999999999996e-10;0.000000000000000e+00
1.469999999999996e-10;0.000000000000000e+00
1.474999999999996e-10;0.000000000000000e+00
1.479999999999996e-10;0.000000000000000e+00
1.484999999999996e-10;0.000000000000000e+00
1.489999999999996e-10;0.000000000000000e+00
1.494999999999996e-10;0.000000000000000e+00
1.499999999999996e-10;0.000000000000000e+00
1.504999999999996e-10;0.000000000000000e+00
1.509999999999996e-10;0.000000000000000e+00
1.514999999999996e-10;0.000000000000000e+00
1.519999999999996e-10;0.000000000000000e+00
1.524999999999996e-10;0.000000000000000e+00
1.529999999999996e-10;0.000000000000000e+00
1.534999999999996e-10;0.000000000000000e+00
1.539999999999996e-10;0.000000000000000e+00
1.544999999999996e-10;0.000000000000000e+00
1.549999999999996e-10;0.000000000000000e+00
1.554999999999996e-10;0.000000000000000e+00
1.559999999999996e-10;0.000000000000000e+00
1.564999999999996e-10;0.000000000000000e+00
1.569999999999996e-10;0.000000000000000e+00
1.574999999999996e-10;0.000000000000000e+00
1.579999999999996e-10;0.000000000000000e+00
1.584999999999996e-10;0.000000000000000e+00
1.589999999999996e-10;0.000000000000000e+00
1.594999999999996e-10;0.000000000000000e+00
1.599999999999996e-10;0.000000000000000e+00
1.604999999999996e-10;0.000000000000000e+00
1.609999999999996e-10;0.000000000000000e+00
1.614999999999996e-10;0.000000000000000e+00
1.619999999999996e-10;0.000000000000000e+00
